seed,captured,detectStep,capturePhaseStartStep,captureStep,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,avgIdleness,maxIdleness,workloadBalance,targetConflictCount
12452,True,23,23,47,-1,0.9757,4047,119.9272,5.4591,47,0.9716,119.9272,4047,0.9428,0
12453,True,19,19,23,-1,0.8107,4023,767.9418,3.6292,23,0.9710,767.9418,4023,0.0000,0
12454,True,10,10,18,-1,0.7184,4018,1134.6510,2.8873,18,0.9630,1134.6510,4018,0.0000,0
12455,True,17,17,21,-1,0.8010,4021,805.6213,3.2196,21,0.9683,805.6213,4021,0.0000,0
12456,True,22,22,37,-1,0.9757,4037,112.3884,4.7408,37,0.9640,112.3884,4037,0.4714,0
12457,True,10,10,16,-1,0.6942,4016,1230.7430,2.6351,16,0.9583,1230.7430,4016,0.0000,0
12458,True,18,18,33,-1,0.9515,4033,207.0485,4.7027,33,0.9596,207.0485,4033,0.9428,0
12459,True,17,17,25,-1,0.8835,4025,476.2816,3.8164,25,0.9733,476.2816,4025,0.0000,0
12460,True,17,17,27,-1,0.8738,4027,516.6505,4.1101,27,0.9506,516.6505,4027,0.9428,0
12461,True,17,17,22,-1,0.8155,4022,747.8593,3.3053,22,0.9394,747.8593,4022,0.9428,0
12462,True,21,21,30,-1,0.8883,4030,457.9709,4.2124,30,0.9667,457.9709,4030,0.4714,0
