simMode,seed,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,workloadBalance,targetConflictCount
PatrolOnly,12502,44,1.0000,39,16.4854,4.6728,100,0.9900,0.0000,0
PatrolOnly,12503,42,1.0000,29,8.3010,4.4106,100,0.9900,0.0000,0
PatrolOnly,12504,42,1.0000,37,9.4223,4.9428,100,0.9900,0.0000,0
PatrolOnly,12505,32,1.0000,39,6.3398,4.3164,100,0.9933,0.0000,0
PatrolOnly,12506,39,1.0000,31,9.5971,4.3309,100,0.9900,0.0000,0
PatrolOnly,12507,32,1.0000,37,7.7961,4.2440,100,0.9900,0.0000,0
PatrolOnly,12508,36,1.0000,69,7.0097,4.4923,100,0.9900,0.0000,0
PatrolOnly,12509,51,1.0000,46,6.3884,4.7862,100,0.9900,0.0000,0
PatrolOnly,12510,41,1.0000,32,7.3398,4.5562,100,0.9900,0.0000,0
PatrolOnly,12511,29,1.0000,21,7.7767,4.3728,100,0.9900,0.0000,0
PatrolOnly,12512,35,1.0000,32,8.4903,4.5806,100,0.9900,0.0000,0
PatrolOnly,12513,49,1.0000,38,12.7621,5.7757,100,0.9900,0.0000,0
PatrolOnly,12514,41,1.0000,32,7.8835,4.9526,100,0.9933,0.0000,0
PatrolOnly,12515,35,1.0000,37,10.8738,5.0235,100,0.9900,0.0000,0
PatrolOnly,12516,28,1.0000,51,8.6019,4.6358,100,0.9900,0.0000,0
PatrolOnly,12517,41,1.0000,77,8.6359,4.7832,100,0.9900,0.0000,0
PatrolOnly,12518,38,1.0000,31,8.4612,4.4996,100,0.9900,0.0000,0
PatrolOnly,12519,40,1.0000,30,9.9757,4.5306,100,0.9900,0.0000,0
PatrolOnly,12520,38,1.0000,37,8.5194,4.7424,100,0.9900,0.0000,0
PatrolOnly,12521,28,1.0000,28,7.4515,5.1903,100,0.9900,0.0000,0
PatrolOnly,12522,43,1.0000,39,10.2136,4.5942,100,0.9900,0.0000,0
PatrolOnly,12523,40,1.0000,36,8.1165,4.3382,100,0.9900,0.0000,0
PatrolOnly,12524,42,1.0000,33,10.2621,4.6923,100,0.9900,0.0000,0
PatrolOnly,12525,30,1.0000,34,9.5291,4.6502,100,0.9900,0.0000,0
PatrolOnly,12526,37,1.0000,59,12.6456,4.9537,100,0.9900,0.0000,0
PatrolOnly,12527,34,1.0000,39,7.9223,4.4842,100,0.9900,0.0000,0
PatrolOnly,12528,51,1.0000,30,9.1505,4.8991,100,0.9900,0.0000,0
PatrolOnly,12529,33,1.0000,33,8.8155,4.6703,100,0.9900,0.0000,0
PatrolOnly,12530,34,1.0000,29,10.1505,4.4572,100,0.9900,0.0000,0
PatrolOnly,12531,34,1.0000,28,8.7136,4.5876,100,0.9900,0.0000,0
PatrolOnly,12532,38,1.0000,61,7.7718,5.0981,100,0.9900,0.0000,0
PatrolOnly,12533,39,1.0000,29,8.8350,4.6685,100,0.9900,0.0000,0
PatrolOnly,12534,49,1.0000,51,10.6651,5.6635,100,0.9900,0.0000,0
PatrolOnly,12535,27,1.0000,36,8.3447,4.4109,100,0.9900,0.0000,0
PatrolOnly,12536,38,1.0000,37,7.9223,4.9983,100,0.9900,0.0000,0
PatrolOnly,12537,32,1.0000,33,7.8155,4.7184,100,0.9933,0.0000,0
PatrolOnly,12538,37,1.0000,38,7.8058,4.7750,100,0.9900,0.0000,0
PatrolOnly,12539,42,1.0000,32,8.5194,5.0858,100,0.9900,0.0000,0
PatrolOnly,12540,27,1.0000,38,8.6068,4.7917,100,0.9900,0.0000,0
PatrolOnly,12541,39,1.0000,34,7.8835,4.5065,100,0.9900,0.0000,0
PatrolOnly,12542,55,1.0000,55,11.5243,5.2989,100,0.9900,0.0000,0
PatrolOnly,12543,45,1.0000,41,6.8350,4.6550,100,0.9900,0.0000,0
PatrolOnly,12544,30,1.0000,34,10.6893,4.8206,100,0.9900,0.0000,0
PatrolOnly,12545,35,1.0000,32,9.0680,4.5576,100,0.9900,0.0000,0
PatrolOnly,12546,34,1.0000,27,8.1699,4.4912,100,0.9900,0.0000,0
PatrolOnly,12547,28,1.0000,41,8.4272,4.9046,100,0.9900,0.0000,0
PatrolOnly,12548,41,1.0000,35,9.6650,4.5217,100,0.9900,0.0000,0
PatrolOnly,12549,26,1.0000,31,8.8981,4.4024,100,0.9900,0.0000,0
PatrolOnly,12550,35,1.0000,45,10.3447,5.1574,100,0.9933,0.0000,0
PatrolOnly,12551,30,1.0000,44,8.5534,4.5872,100,0.9900,0.0000,0
PatrolOnly,12552,34,1.0000,30,9.3835,4.3350,100,0.9900,0.0000,0
PatrolOnly,12553,38,1.0000,45,8.6214,4.8002,100,0.9900,0.0000,0
PatrolOnly,12554,35,1.0000,42,8.2961,4.9726,100,0.9900,0.0000,0
PatrolOnly,12555,40,1.0000,41,10.6699,5.4310,100,0.9900,0.0000,0
PatrolOnly,12556,38,1.0000,30,8.8981,4.5479,100,0.9900,0.0000,0
PatrolOnly,12557,37,1.0000,32,8.7573,4.6997,100,0.9900,0.0000,0
PatrolOnly,12558,32,1.0000,39,10.9757,5.3874,100,0.9900,0.0000,0
PatrolOnly,12559,35,1.0000,32,8.2136,4.7427,100,0.9900,0.0000,0
PatrolOnly,12560,32,1.0000,37,9.8592,4.3698,100,0.9900,0.0000,0
PatrolOnly,12561,32,1.0000,36,7.8010,5.2009,100,0.9933,0.0000,0
